Epoch	train_cost	val_cost	epoch_time	learing_rate
401	0.145223	0.13779	42.0269s	6.25e-05
402	0.144841	0.137582	42.359s	6.25e-05
403	0.145	0.137265	41.4781s	6.25e-05
404	0.145176	0.137243	42.2043s	6.25e-05
405	0.145038	0.137532	42.3895s	6.25e-05
406	0.145006	0.137544	41.7887s	6.25e-05
407	0.14435	0.137581	41.9238s	6.25e-05
408	0.144722	0.137194	42.6038s	6.25e-05
409	0.144956	0.137519	42.0897s	6.25e-05
410	0.145197	0.137369	41.4774s	6.25e-05
411	0.145195	0.137165	41.626s	6.25e-05
412	0.144932	0.137526	42.1857s	6.25e-05
413	0.145178	0.137279	42.0803s	6.25e-05
414	0.145257	0.137366	41.9s	6.25e-05
415	0.144733	0.137545	42.3332s	6.25e-05
416	0.144812	0.137481	42.0883s	6.25e-05
417	0.144912	0.137236	41.533s	6.25e-05
418	0.144481	0.137806	41.7487s	6.25e-05
419	0.145032	0.137412	41.0558s	6.25e-05
420	0.144766	0.137225	42.0829s	6.25e-05
421	0.145003	0.13728	41.7335s	6.25e-05
422	0.145098	0.137316	41.6658s	6.25e-05
423	0.144742	0.137659	42.1935s	6.25e-05
424	0.14469	0.137601	41.7925s	6.25e-05
425	0.144864	0.137194	41.8565s	6.25e-05
426	0.144611	0.137709	42.2291s	6.25e-05
427	0.144962	0.137684	41.4303s	6.25e-05
428	0.144745	0.137204	42.4038s	6.25e-05
429	0.144686	0.137069	42.7217s	6.25e-05
430	0.145303	0.137611	42.3696s	6.25e-05
431	0.145155	0.137267	41.6416s	6.25e-05
432	0.144512	0.137845	41.3312s	6.25e-05
433	0.14477	0.137526	41.8481s	3.125e-05
434	0.144777	0.137483	41.4835s	3.125e-05
435	0.144648	0.137582	41.7373s	3.125e-05
436	0.144327	0.137483	41.656s	3.125e-05
437	0.145074	0.137495	41.805s	3.125e-05
438	0.144889	0.137539	42.4865s	3.125e-05
439	0.144506	0.137389	41.9261s	3.125e-05
440	0.14488	0.137526	41.8298s	3.125e-05
441	0.144877	0.137792	41.7703s	3.125e-05
442	0.144792	0.13746	41.4427s	3.125e-05
443	0.144774	0.137484	42.0933s	3.125e-05
444	0.144815	0.137559	41.6632s	3.125e-05
445	0.144559	0.13753	42.6106s	3.125e-05
446	0.144929	0.137506	41.767s	3.125e-05
447	0.144248	0.13733	42.0585s	3.125e-05
448	0.14467	0.137275	41.3972s	3.125e-05
449	0.144613	0.137347	41.778s	3.125e-05
450	0.144569	0.137319	41.8511s	3.125e-05
451	0.144617	0.137126	41.8458s	3.125e-05
452	0.144825	0.137576	42.1517s	3.125e-05
453	0.145086	0.13721	41.8574s	3.125e-05
454	0.144886	0.137297	41.5701s	3.125e-05
455	0.144614	0.13732	41.5661s	3.125e-05
456	0.14476	0.137289	41.4716s	3.125e-05
457	0.145217	0.137353	41.9378s	3.125e-05
458	0.144817	0.137348	41.9802s	3.125e-05
459	0.144738	0.137028	42.1155s	3.125e-05
460	0.144949	0.137424	41.8447s	3.125e-05
461	0.144844	0.137343	41.848s	3.125e-05
462	0.144843	0.137739	41.5155s	3.125e-05
463	0.144772	0.137436	41.806s	3.125e-05
464	0.144467	0.137395	41.9987s	3.125e-05
465	0.145046	0.137247	41.8263s	3.125e-05
466	0.144757	0.137292	42.121s	3.125e-05
467	0.144618	0.137368	42.232s	3.125e-05
468	0.144414	0.137165	41.4305s	3.125e-05
469	0.144692	0.137349	42.25s	3.125e-05
470	0.144362	0.13728	42.4495s	3.125e-05
471	0.144352	0.137225	42.2626s	3.125e-05
472	0.144709	0.13735	41.917s	3.125e-05
473	0.144224	0.137501	42.3385s	3.125e-05
474	0.144707	0.137315	42.2065s	3.125e-05
475	0.144706	0.137413	41.9772s	3.125e-05
476	0.144685	0.137332	41.7407s	3.125e-05
477	0.144994	0.137492	41.6448s	3.125e-05
478	0.144555	0.137231	41.9229s	3.125e-05
479	0.14481	0.137561	42.9807s	3.125e-05
480	0.145041	0.137461	42.2043s	3.125e-05
481	0.144057	0.137319	41.8632s	3.125e-05
